x,y,timestamp
-1.98517,-0.486126,1.74135e+09
-1.98517,-0.486127,1.74135e+09
-1.98517,-0.486127,1.74135e+09
-1.98517,-0.486128,1.74135e+09
-1.98517,-0.486128,1.74135e+09
-1.98517,-0.486128,1.74135e+09
-1.98517,-0.486128,1.74135e+09
-1.98517,-0.486128,1.74135e+09
-1.98517,-0.486128,1.74135e+09
-1.98517,-0.486128,1.74135e+09
-1.98517,-0.486128,1.74135e+09
-1.98517,-0.486128,1.74135e+09
-1.98517,-0.486128,1.74135e+09
-1.98517,-0.486128,1.74135e+09
-1.98517,-0.48613,1.74135e+09
-1.98518,-0.486131,1.74135e+09
-1.98518,-0.486131,1.74135e+09
-1.98519,-0.486133,1.74135e+09
-1.9852,-0.486135,1.74135e+09
-1.98521,-0.486137,1.74135e+09
-1.98522,-0.486139,1.74135e+09
-1.98523,-0.486142,1.74135e+09
-1.98524,-0.486144,1.74135e+09
-1.98525,-0.486147,1.74135e+09
-1.98527,-0.486149,1.74135e+09
-1.98528,-0.486153,1.74135e+09
-1.9853,-0.486156,1.74135e+09
-1.98532,-0.486158,1.74135e+09
-1.98534,-0.486161,1.74135e+09
-1.98536,-0.486164,1.74135e+09
-1.98538,-0.486167,1.74135e+09
-1.9854,-0.48617,1.74135e+09
-1.98543,-0.486173,1.74135e+09
-1.98545,-0.486175,1.74135e+09
-1.98548,-0.486178,1.74135e+09
-1.98551,-0.48618,1.74135e+09
-1.98554,-0.486182,1.74135e+09
-1.98557,-0.486183,1.74135e+09
-1.9856,-0.486184,1.74135e+09
-1.98564,-0.486184,1.74135e+09
-1.98567,-0.486184,1.74135e+09
-1.98571,-0.486183,1.74135e+09
-1.98574,-0.486182,1.74135e+09
-1.98578,-0.486179,1.74135e+09
-1.98582,-0.486176,1.74135e+09
-1.98585,-0.486172,1.74135e+09
-1.98589,-0.486167,1.74135e+09
-1.98593,-0.486162,1.74135e+09
-1.98597,-0.486156,1.74135e+09
-1.98601,-0.486149,1.74135e+09
-1.98604,-0.486141,1.74135e+09
-1.98608,-0.486132,1.74135e+09
-1.98612,-0.486122,1.74135e+09
-1.98616,-0.486111,1.74135e+09
-1.98621,-0.486099,1.74135e+09
-1.98625,-0.486085,1.74135e+09
-1.98629,-0.48607,1.74135e+09
-1.98633,-0.486055,1.74135e+09
-1.98638,-0.486037,1.74135e+09
-1.98642,-0.486018,1.74135e+09
-1.98647,-0.485998,1.74135e+09
-1.98651,-0.485976,1.74135e+09
-1.98656,-0.485951,1.74135e+09
-1.9866,-0.485926,1.74135e+09
-1.98665,-0.485899,1.74135e+09
-1.98669,-0.485869,1.74135e+09
-1.98674,-0.485838,1.74135e+09
-1.98678,-0.485805,1.74135e+09
-1.98683,-0.485769,1.74135e+09
-1.98688,-0.48573,1.74135e+09
-1.98692,-0.485689,1.74135e+09
-1.98697,-0.485648,1.74135e+09
-1.98701,-0.485603,1.74135e+09
-1.98706,-0.485555,1.74135e+09
-1.9871,-0.485505,1.74135e+09
-1.98714,-0.485452,1.74135e+09
-1.98718,-0.485398,1.74135e+09
-1.98722,-0.485342,1.74135e+09
-1.98726,-0.485282,1.74135e+09
-1.9873,-0.48522,1.74135e+09
-1.98733,-0.485159,1.74135e+09
-1.98736,-0.485096,1.74135e+09
-1.98739,-0.485031,1.74135e+09
-1.98741,-0.484966,1.74135e+09
-1.98744,-0.484901,1.74135e+09
-1.98746,-0.484834,1.74135e+09
-1.98748,-0.484766,1.74135e+09
-1.98749,-0.484698,1.74135e+09
-1.98751,-0.484629,1.74135e+09
-1.98752,-0.48456,1.74135e+09
-1.98753,-0.48449,1.74135e+09
-1.98753,-0.48442,1.74135e+09
-1.98753,-0.48435,1.74135e+09
-1.98754,-0.48428,1.74135e+09
-1.98753,-0.48421,1.74135e+09
-1.98753,-0.48414,1.74135e+09
-1.98752,-0.484071,1.74135e+09
-1.98751,-0.484001,1.74135e+09
-1.9875,-0.483932,1.74135e+09
-1.98749,-0.483863,1.74135e+09
-1.98747,-0.483795,1.74135e+09
-1.98745,-0.483728,1.74135e+09
-1.98743,-0.483661,1.74135e+09
-1.9874,-0.483595,1.74135e+09
-1.98737,-0.483531,1.74135e+09
-1.98734,-0.483467,1.74135e+09
-1.98731,-0.483404,1.74135e+09
-1.98728,-0.483342,1.74135e+09
-1.98724,-0.483282,1.74135e+09
-1.9872,-0.483223,1.74135e+09
-1.98716,-0.483166,1.74135e+09
-1.98712,-0.48311,1.74135e+09
-1.98707,-0.483055,1.74135e+09
-1.98703,-0.483003,1.74135e+09
-1.98698,-0.482952,1.74135e+09
-1.98693,-0.482904,1.74135e+09
-1.98687,-0.482857,1.74135e+09
-1.98682,-0.482812,1.74135e+09
-1.98676,-0.48277,1.74135e+09
-1.9867,-0.482729,1.74135e+09
-1.98665,-0.482691,1.74135e+09
-1.98658,-0.482655,1.74135e+09
-1.98652,-0.482621,1.74135e+09
-1.98646,-0.48259,1.74135e+09
-1.9864,-0.482561,1.74135e+09
-1.98633,-0.482535,1.74135e+09
-1.98627,-0.482511,1.74135e+09
-1.9862,-0.48249,1.74135e+09
-1.98613,-0.482471,1.74135e+09
-1.98606,-0.482454,1.74135e+09
-1.98599,-0.482441,1.74135e+09
-1.98592,-0.482429,1.74135e+09
-1.98585,-0.48242,1.74135e+09
-1.98579,-0.482414,1.74135e+09
-1.98572,-0.48241,1.74135e+09
-1.98564,-0.482409,1.74135e+09
-1.98557,-0.482411,1.74135e+09
-1.9855,-0.482415,1.74135e+09
-1.98543,-0.482421,1.74135e+09
-1.98537,-0.482431,1.74135e+09
-1.9853,-0.482442,1.74135e+09
-1.98523,-0.482457,1.74135e+09
-1.98516,-0.482474,1.74135e+09
-1.98509,-0.482493,1.74135e+09
-1.98503,-0.482515,1.74135e+09
-1.98496,-0.48254,1.74135e+09
-1.98489,-0.482567,1.74135e+09
-1.98483,-0.482596,1.74135e+09
-1.98477,-0.482628,1.74135e+09
-1.98471,-0.482662,1.74135e+09
-1.98465,-0.482699,1.74135e+09
-1.98459,-0.482738,1.74135e+09
-1.98453,-0.482779,1.74135e+09
-1.98447,-0.482822,1.74135e+09
-1.98442,-0.482867,1.74135e+09
-1.98437,-0.482914,1.74135e+09
-1.98432,-0.482963,1.74135e+09
-1.98427,-0.483014,1.74135e+09
-1.98422,-0.483066,1.74135e+09
-1.98418,-0.483121,1.74135e+09
-1.98413,-0.483176,1.74135e+09
-1.98409,-0.483234,1.74135e+09
-1.98405,-0.483293,1.74135e+09
-1.98402,-0.483353,1.74135e+09
-1.98398,-0.483415,1.74135e+09
-1.98395,-0.483477,1.74135e+09
-1.98392,-0.483541,1.74135e+09
-1.9839,-0.483606,1.74135e+09
-1.98387,-0.483672,1.74135e+09
-1.98385,-0.483738,1.74135e+09
-1.98383,-0.483806,1.74135e+09
-1.98381,-0.483874,1.74135e+09
-1.9838,-0.483943,1.74135e+09
-1.98378,-0.484012,1.74135e+09
-1.98377,-0.484081,1.74135e+09
-1.98377,-0.484151,1.74135e+09
-1.98376,-0.484221,1.74135e+09
-1.98376,-0.484291,1.74135e+09
-1.98376,-0.484361,1.74135e+09
-1.98377,-0.484432,1.74135e+09
-1.98377,-0.484501,1.74135e+09
-1.98378,-0.484571,1.74135e+09
-1.98379,-0.48464,1.74135e+09
-1.98381,-0.484709,1.74135e+09
-1.98382,-0.484778,1.74135e+09
-1.98384,-0.484845,1.74135e+09
-1.98386,-0.484912,1.74135e+09
-1.98389,-0.484978,1.74135e+09
-1.98391,-0.485043,1.74135e+09
-1.98394,-0.485107,1.74135e+09
-1.98398,-0.48517,1.74135e+09
-1.98401,-0.485232,1.74135e+09
-1.98405,-0.485292,1.74135e+09
-1.98408,-0.485351,1.74135e+09
-1.98413,-0.485409,1.74135e+09
-1.98417,-0.485465,1.74135e+09
-1.98421,-0.485519,1.74135e+09
-1.98426,-0.485572,1.74135e+09
-1.98431,-0.485623,1.74135e+09
-1.98436,-0.485672,1.74135e+09
-1.98441,-0.485719,1.74135e+09
-1.98446,-0.485765,1.74135e+09
-1.98452,-0.485808,1.74135e+09
-1.98458,-0.48585,1.74135e+09
-1.98464,-0.485889,1.74135e+09
-1.9847,-0.485926,1.74135e+09
-1.98476,-0.485961,1.74135e+09
-1.98482,-0.485993,1.74135e+09
-1.98488,-0.486024,1.74135e+09
-1.98495,-0.486052,1.74135e+09
-1.98501,-0.486077,1.74135e+09
-1.98508,-0.4861,1.74135e+09
-1.98515,-0.486121,1.74135e+09
-1.98521,-0.486139,1.74135e+09
-1.98528,-0.486154,1.74135e+09
-1.98535,-0.486167,1.74135e+09
-1.98542,-0.486177,1.74135e+09
-1.98549,-0.486185,1.74135e+09
-1.98556,-0.486189,1.74135e+09
-1.98563,-0.486191,1.74135e+09
-1.9857,-0.486191,1.74135e+09
-1.98577,-0.486187,1.74135e+09
-1.98584,-0.486181,1.74135e+09
-1.98591,-0.486172,1.74135e+09
-1.98598,-0.486161,1.74135e+09
-1.98605,-0.486147,1.74135e+09
